,aid,sid,pred,ga_surface_r,ni_surface_r,wo_surface_r,ga_type_r,ni_type_r,wo_type_r,keyaki_sbj,keyaki_ob1,keyaki_ob2,takeno1_sbj,takeno1_ob1,takeno1_ob2,takeno2_sbj,takeno2_ob1,takeno2_ob2,ga_surface_s,wo_surface_s,ni_surface_s,ga_type_s,wo_type_s,ni_type_s
67,950101008,19,続け,exog,,閣僚,INTER_Z,NONE,INTER_Z,*PRO*,*pro*,,*PRO*,,,年,,,,,,,,
68,950101008,19,いい,もらうの,,,INTRA_Z,NONE,NONE,の,,,の,,,の,,,の,,,DIRECT,,
69,950101008,19,思っ,村山富市首相,,,INTER_Z,NONE,NONE,*pro*,,,*pro*,,,*pro*,,,,,,,,
70,950101008,20,なっ,官,一体,,INTRA_Z,INTRA_Z,NONE,*PRO*,,一体,*PRO*,,一体,*PRO*,,一体,官,,一体,DIRECT,,DIRECT
71,950101008,20,応え,官,国民,,INTRA_Z,INTRA_Z,NONE,官,,国民,官,,国民,,*T*,国民,官,,国民,INTRA_Z,,DIRECT
72,950101008,20,課題,見直し,,,INTER_Z,NONE,NONE,,,,,,,,,,課題,,,INTRA_Z,,
73,950101008,21,見える,形,目,,INTRA_Z,DIRECT,NONE,*T*,,目,*T*,,目,*PRO*,,目,,,目,,,DIRECT
74,950101008,22,つけ,村山富市首相,,決着,INTER_Z,NONE,DIRECT,*PRO*,決着,めど,決着,,めど,決着,,めど,,,,,,
75,950101008,22,し,村山富市首相,,,INTER_Z,NONE,NONE,*pro*,よう,よう,*pro*,,よう,*pro*,日,よう,,,,,,
76,950101008,23,実行する,村山富市首相,,見直し,INTER_Z,NONE,INTER_Z,*pro*,*pro*,,*pro*,,,*pro*,,,,,,,,
77,950101008,24,照らし,exog,経験,見直し,INTER_Z,INTRA_Z,INTER_Z,*PRO*,,経験,*PRO*,,経験,*PRO*,,経験,,,,,,
78,950101008,24,やっ,村山富市首相,,こと,INTER_Z,NONE,INTRA_Z,*pro*,こと,枠内,こと,,枠内,こと,,,こと,,,DIRECT,,
79,950101008,25,考え,村山富市首相,,,INTER_Z,NONE,NONE,*pro*,見直し,,見直し,,,見直し,,,,,,,,
80,950101008,26,節目,exog,,,INTER_Z,NONE,NONE,,,,,,,,,,会談,,,INTRA_Z,,
81,950101008,26,崩壊し,冷戦構造,,,DIRECT,NONE,NONE,冷戦構造,,,冷戦構造,,,冷戦構造,,,構造,,,DIRECT,,
82,950101008,26,求め,世界,,新秩序,INTRA_Z,NONE,INTRA_Z,世界,新秩序,,*T*,新秩序,,世界,新秩序,,世界,,,DIRECT,,
83,950101008,26,展望する,exog,時期,二十一世紀,INTER_Z,DIRECT,INTRA_Z,*T*,世紀,,*T*,世紀,,*T*,世紀,,,,,,,
84,950101008,26,親密,関係,,,INTRA_Z,NONE,NONE,,,,,,,,,,米,,,INTRA_Z,,
85,950101008,26,構築する,日,,関係,INTRA_Z,NONE,DIRECT,*pro*,関係,時期,*pro*,関係,時期,*pro*,関係,時期,,,,,,
86,950101008,26,大き,課題,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
87,950101008,26,課題,構築,,,DIRECT,NONE,NONE,,,,,,,,,,する,,,DIRECT,,
88,950101008,27,し,exog,,日,INTER_Z,NONE,DIRECT,*T*,日米関係,機軸,*T*,日米関係,機軸,*T*,,機軸,,,機軸,,,DIRECT
89,950101008,27,大きい,役割,,,DIRECT,NONE,NONE,役割,,,役割,,,役割,日米関係,,役割,,,DIRECT,,
90,950101008,28,ない,きたん,,,DIRECT,NONE,NONE,,,,,,,,,,きたん,,,DIRECT,,
91,950101008,28,し,村山富市首相,,話し合い,INTER_Z,NONE,DIRECT,*pro*,話し合い,クリントン大統領,*pro*,話し合い,クリントン大統領,*pro*,話し合い,クリントン大統領,,,,,,
92,950101008,29,あれ,機会,,,INTRA_Z,NONE,NONE,機会,,,機会,,,機会,,見合い,機会,,,DIRECT,,
93,950101008,29,訪,村山富市首相,,,INTER_Z,NONE,NONE,,,,,,,,,,,,,,,
94,950101008,30,改革さ,村山富市首相,,国連,INTER_Z,NONE,DIRECT,,国連,,,国連,,国連,,,,,,,,
95,950101008,31,果たさ,国連,,役割,DIRECT,NONE,INTRA_Z,国連,*T*,,,*T*,,,*T*,,国連,,,DIRECT,,
96,950101008,31,大きい,役割,,,DIRECT,NONE,NONE,役割,,,役割,,,役割,,,役割,,,DIRECT,,
97,950101008,32,考え,村山富市首相,,国連,INTER_Z,NONE,INTRA_Z,*pro*,,前提,*pro*,,前提,*pro*,国連改革,前提,,,,,,
98,950101009,1,撤廃する,橋本大二郎知事,,国籍条項,INTRA_Z,NONE,DIRECT,*pro*,国籍条項,都道府県,*pro*,国籍条項,都道府県,*pro*,国籍条項,,知事,,,INTRA_Z,,
99,950101009,1,し,橋本大二郎知事,明らか,方針,DIRECT,INTRA_Z,DIRECT,橋本大二郎知事,方針,,橋本大二郎知事,方針,,橋本大二郎知事,方針,都道府県,,,,,,
100,950101009,2,要件,日本,,,DIRECT,NONE,NONE,,,,,,,,,,国籍,,,DIRECT,,
101,950101009,3,携わる,公務員,意思,,INTRA_Z,DIRECT,NONE,*T*,,意思形成,*T*,,意思形成,*T*,,意思形成,国,,形成,INTRA_Z,,DIRECT
102,950101009,3,必要,日本,,,INTRA_Z,NONE,NONE,公務員,,,日本国籍,,,日本国籍,,,国籍,,,DIRECT,,
103,950101009,3,姿勢,国,,,DIRECT,NONE,NONE,,,,,,,,,,,,,,,
104,950101009,3,ない,日本,人,,INTRA_Z,INTRA_Z,NONE,*T*,,,日本国籍,,,規定,,,規定,,,DIRECT,,
105,950101009,3,禁じる,国,,任用,INTRA_Z,NONE,DIRECT,*T*,任用,,*T*,任用,,日本国籍,任用,,国,,,INTRA_Z,,
106,950101009,3,ない,規定,,,DIRECT,NONE,NONE,,,,,,,,,,,,,,,
107,950101009,4,感じ,橋本知事,,必要性,INTRA_Z,NONE,DIRECT,*pro*,必要性,,必要性,,,必要性,,,知事,,,INTRA_Z,,
108,950101009,4,生まれ,在,日本,,INTRA_Z,INTRA_Z,NONE,*T*,,日本,*T*,,日本,,,,,,,,,
109,950101009,4,育った,在,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
110,950101009,4,排斥する,橋本知事,,在,INTRA_Z,NONE,INTRA_Z,*pro*,朝鮮人,,*pro*,朝鮮人,,*pro*,在日韓国・朝鮮人,,知事,,,INTRA_Z,,
111,950101009,4,ない,理由,,,DIRECT,NONE,NONE,理由,,,理由,,,理由,,,理由,,,DIRECT,,
112,950101009,4,実現さ,橋本知事,,方針,INTRA_Z,NONE,INTER_Z,*PRO*,,,*PRO*,,,*PRO*,,契機,知事,,契機,INTRA_Z,,DIRECT
113,950101009,4,話し,橋本知事,,,INTRA_Z,NONE,NONE,橋本知事,,,橋本知事,,,橋本知事,,,知事,,,DIRECT,,
114,950101010,1,驚く,世界,首相,,DIRECT,INTRA_Z,NONE,世界,,,*T*,,,*pro*,,世界,世界,,,DIRECT,,
115,950101010,1,若い,首相,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
116,950101010,1,誕生し,首相,,,DIRECT,NONE,NONE,首相,,,首相,,,首相,,,首相,,,DIRECT,,
117,950101010,1,撤廃さ,exog,,規制,INTER_Z,NONE,DIRECT,,規制,法律,,規制,法律,規制,,法律,,,,,,
118,950101010,2,あり,撤廃,,,INTER_Z,NONE,NONE,*PRO*,,,*PRO*,,,*PRO*,,,,,,,,
119,950101010,2,期待,撤廃,,,INTER_Z,NONE,NONE,,,,,,,,,,,,,,,
120,950101010,3,単純,発想,,,INTRA_Z,NONE,NONE,,,,,,,,,,人,,,INTRA_Z,,
121,950101010,3,感じる,人,発想,あやうさ、脆さ,INTRA_Z,DIRECT,INTRA_Z,*T*,脆さ,発想,*T*,脆さ,発想,*T*,脆さ,発想,,,発想,,,DIRECT
122,950101010,3,多い,人,,,DIRECT,NONE,NONE,人,,,人,,,人,,,人,,,DIRECT,,
123,950101010,3,乗り切る,日本,,転換期,INTRA_Z,NONE,DIRECT,*PRO*,転換期,,*pro*,転換期,,*pro*,転換期,,人,,,INTRA_Z,,
124,950101010,3,変わっ,日本,,,INTRA_Z,NONE,NONE,日本,,,日本,,,日本,,,日本,,,DIRECT,,
125,950101010,3,あり,発想,,,INTRA_Z,NONE,NONE,*PRO*,,,*pro*,,,*PRO*,,,,,,,,
126,950101010,3,なる,発想,メッセージ,,INTRA_Z,DIRECT,NONE,*PRO*,,メッセージ,*pro*,,メッセージ,*PRO*,,メッセージ,,,,,,
127,950101010,4,思い切っ,exog,,世代,INTER_Z,NONE,INTRA_Z,*T*,,,*T*,,,*T*,,分野,,,,,,
128,950101010,4,なる,世代,必要,,DIRECT,INTRA_Z,NONE,世代交代,,分野,世代交代,,分野,世代交代,,,交代,,,DIRECT,,
129,950101010,5,歴史的,衝撃,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
130,950101010,5,踏み出し,日本,,第一歩,DIRECT,NONE,DIRECT,日本,第一歩,中,日本,第一歩,中,日本,歩,中,日本,,,DIRECT,,
131,950101010,6,なり,復帰,,,DIRECT,NONE,NONE,復帰,,悲願,復帰,,悲願,復帰,,悲願,復帰,,悲願,DIRECT,,DIRECT
132,950101010,7,支え,もの,,これ,INTRA_Z,NONE,DIRECT,*PRO*,,,*PRO*,,,*PRO*,,,,,,,,
133,950101010,7,生ん,もの,,活力,INTRA_Z,NONE,INTRA_Z,*T*,活力,,*T*,活力,,*T*,活力,,,,,,,
134,950101010,7,世代交代,もの,,,DIRECT,NONE,NONE,,,,,,,,,,,,,,,
135,950101010,8,追放さ,外圧,,リーダー,INTER_Z,NONE,DIRECT,,リーダー,,,リーダー,,リーダー,,,リーダー,,,DIRECT,,
136,950101010,8,若い,人たち,,,INTRA_Z,NONE,NONE,,,,,,,,,,経験,,,DIRECT,,
137,950101010,8,立たざる,若い,トップ,,INTRA_Z,INTRA_Z,NONE,,,,,,,,,,,,,,,
138,950101010,8,得,若い,,立た,INTRA_Z,NONE,INTRA_Z,,,,,,,人たち,ざる,,たち,,トップ,DIRECT,,DIRECT
139,950101010,9,飛び込み,若者,政界,,DIRECT,DIRECT,NONE,若者,,,若者,,,,,,,,,,,
140,950101010,9,上がり,幕,,,DIRECT,NONE,NONE,幕,,,幕,,,幕,,,若者,,政界,DIRECT,,DIRECT
141,950101010,10,似,時代,敗戦,,INTRA_Z,INTRA_Z,NONE,*T*,,,*T*,,,*T*,,,,,,,,
142,950101010,10,大胆,切開手術,,,INTRA_Z,NONE,NONE,,,,,,,,,,今,,,INTRA_Z,,
143,950101010,10,する,時代,,切開手術,INTRA_Z,NONE,DIRECT,*pro*,切開手術,必要,*PRO*,切開手術,必要,*T*,,,,,,,,
144,950101010,10,入っ,今,時代,,INTRA_Z,INTRA_Z,NONE,今,,時代,今,,時代,今,,時代,,,時代,,,DIRECT
145,950101010,11,奇跡的,経済,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
146,950101010,11,もたらし,システム,,経済,INTRA_Z,NONE,DIRECT,*T*,経済発展,,*T*,経済発展,,*T*,経済発展,,,,,,,
147,950101010,11,なり,システム,,,INTRA_Z,NONE,NONE,*PRO*,,障害,*PRO*,,障害,*T*,,障害,,,,,,
148,950101010,11,陥っ,システム,機能不全,,INTRA_Z,INTRA_Z,NONE,システム,,機能不全,システム,,機能不全,システム,,機能不全,,,,,,
149,950101010,12,漂流する,政治,,,INTRA_Z,NONE,NONE,*T*,,,*T*,,,*T*,,,,,,,,
150,950101010,12,なっ,官,強大,,INTRA_Z,INTRA_Z,NONE,官,,,官,,,官,,,,,,,,
151,950101010,12,見えます,官,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
152,950101010,13,表面的,もの,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
153,950101010,13,もの,それ,,,DIRECT,NONE,NONE,,,,,,,,,,,,,,,
154,950101010,13,喪失する,官,,自信,INTER_Z,NONE,DIRECT,*PRO*,自信,,*PRO*,自信,,*PRO*,自信,もの,,,,,,
155,950101010,13,求め,官,,レゾンデートル,INTER_Z,NONE,INTRA_Z,*PRO*,レゾンデートル,,*PRO*,レゾンデートル,,*PRO*,レゾンデートル,,,,,,,
156,950101010,13,揺れる,官,,,INTER_Z,NONE,NONE,*T*,,,*T*,,,*pro*,,,,,,,,
157,950101010,13,透け,姿,,,INTRA_Z,NONE,NONE,*PRO*,,,*PRO*,,,姿,,,,,,,,
158,950101010,13,見えます,姿,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
159,950101010,14,かけ,要請,これ,追い打ち,DIRECT,DIRECT,DIRECT,要請,追い打ち,,要請,追い打ち,,要請,追い打ち,,要請,,これ,DIRECT,,DIRECT
160,950101010,15,強大,権限,,,INTRA_Z,NONE,NONE,,,,,,,,,,大蔵省,,,INTRA_Z,,
161,950101010,15,持つ,大蔵省,,権限,INTRA_Z,NONE,DIRECT,*T*,権限,,*T*,権限,,*T*,権限,,,,,,,
162,950101010,15,言わ,exog,,大蔵省,INTER_Z,NONE,DIRECT,,大蔵省,よう,,大蔵省,よう,大蔵省,,よう,大蔵省,,,DIRECT,,
163,950101010,15,唱え,海外,,大蔵分割論,DIRECT,NONE,DIRECT,,大蔵分割論,,,大蔵分割論,,大蔵分割論,,,論,,,DIRECT,,
164,950101010,15,語ら,exog,,民営化論など,INTER_Z,NONE,INTRA_Z,,,,,,,*PRO*,,,,,,,,
165,950101010,16,考え,exog,,変化,INTER_Z,NONE,INTRA_Z,*pro*,*T*,,*T*,,,*PRO*,,,,,,,,
166,950101010,16,変化,なりました,,,INTER_Z,NONE,NONE,,,,,,,,,,,,,,,
167,950101010,17,言わ,exog,,運輸省,INTER_Z,NONE,INTRA_Z,,*T*,よう,,*T*,よう,*T*,,よう,,,,,,
168,950101010,17,あり,運輸省,,,DIRECT,NONE,NONE,運輸省,,,,,,,,,運輸省,,,DIRECT,,
169,950101010,18,なる,航空会社,国鉄,,INTRA_Z,DIRECT,NONE,*PRO*,,国鉄,*PRO*,,国鉄,航空会社,,国鉄,会社,,国鉄,INTRA_Z,,DIRECT
170,950101010,18,上げ,航空業界トップ,,悲鳴,DIRECT,NONE,DIRECT,航空業界トップ,悲鳴,,航空業界トップ,悲鳴,,航空業界トップ,悲鳴,,トップ,,,DIRECT,,
171,950101010,18,広がり,空洞化,産業,,INTRA_Z,DIRECT,NONE,空洞化,,産業,空洞化,,産業,空洞化,,産業,,,,,,
172,950101010,18,鳴らし,ＪＲ各社首脳,,警鐘,INTRA_Z,NONE,INTRA_Z,首脳,警鐘,増大,首脳,警鐘,増大,ＪＲ各社首脳,警鐘,増大,首脳,,増大,DIRECT,,DIRECT
173,950101010,19,消える,株式市場,,,DIRECT,NONE,NONE,株式市場,,,株式市場,,,株式市場,,,市場,,,DIRECT,,
174,950101010,19,見る,金融機関,,悪夢,INTRA_Z,NONE,DIRECT,*pro*,悪夢,,*pro*,悪夢,,*pro*,悪夢,,,,,,,
175,950101010,19,訴え,金融機関,,,DIRECT,NONE,NONE,*PRO*,,,*PRO*,,,金融機関,,,機関,,,DIRECT,,
176,950101010,19,発動し,政府・日銀,,設立,INTRA_Z,NONE,INTRA_Z,日銀,*T*,ため,*T*,,ため,*T*,,ため,日銀,,,DIRECT,,
177,950101010,19,踊っ,“悪徳”金融機関,,,INTRA_Z,NONE,NONE,*T*,,バブル,*T*,,バブル,*T*,,バブル,,,バブル,,,DIRECT
178,950101010,19,使うこと,政府・日銀,救済,税金,INTRA_Z,INTRA_Z,INTRA_Z,,,,,,,,,,,,,,,
179,950101010,19,出,批判,,,INTRA_Z,NONE,NONE,批判,,こと,批判,,こと,批判,,こと,批判,,こと,DIRECT,,DIRECT
180,950101010,19,する,exog,,ヘタ,INTER_Z,NONE,INTRA_Z,*PRO*,ヘタ,,*pro*,ヘタ,,*PRO*,ヘタ,,,,,,,
181,950101010,19,なる,使う,こと,,INTRA_Z,DIRECT,NONE,*PRO*,,こと,,,こと,批判,,こと,,,こと,,,DIRECT
182,950101010,19,なっ,使う,こと,,INTRA_Z,INTRA_Z,NONE,*PRO*,,,*PRO*,,,*PRO*,,,,,,,,
183,950101010,19,国家的犯罪,使う,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
184,950101010,19,危惧する,exog,,設立,INTER_Z,NONE,DIRECT,金融機関,,,金融機関,,,政府・日銀,,,,,,,,
185,950101010,20,来る,弊害,,,INTRA_Z,NONE,NONE,*pro*,,,*PRO*,,,*PRO*,,,,,,,,
186,950101010,20,来,弊害,,,INTRA_Z,NONE,NONE,弊害,,,弊害,,,*pro*,,,弊害,,,DIRECT,,
187,950101010,20,あらわれ,いずれ,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
188,950101010,21,なっ,許認可,,,INTER_Z,NONE,NONE,*pro*,,,,,,,,,,,,,,
189,950101010,22,変える,規制,,質,INTRA_Z,NONE,DIRECT,*PRO*,質,,*PRO*,質,,*PRO*,質,,,,,,,
190,950101010,22,なり,規制,変えること,,DIRECT,INTRA_Z,NONE,規制緩和,こと,,規制緩和,,,規制緩和,,,緩和,,こと,DIRECT,,DIRECT
